Country;Confederatie;Poule;Kwalificatie;Aantal Deelnames;Eerste Deelname;Laatste Deelname;Titels;Beste Prestatie
Qatar;AFC;A;Gastland;1;2022;n.v.t.;0;n.v.t.
Senegal;CAF;A;Winnaar play-off 2;3;2002;2018;0;Kwartfinale
Ecuador;CONMEBOL;A;4e CONMEBOL;4;2002;2014;0;Achtste finale
Netherlands;UEFA;A;1e groep G;11;1934;2014;0;Tweede plaats
Iran;AFC;B;1e groep A (derde ronde);6;1978;2018;0;Groepsfase
United States;CONCACAF;B;3e CONCACAF (derde ronde);11;1930;2014;0;Derde plaats
England;UEFA;B;1e groep I;16;1950;2018;1;Wereldkampioen
Wales;UEFA;B;Winnaar play-off 1;2;1958;1958;0;Kwartfinale
Saudi Arabia;AFC;C;1e groep B (derde ronde);6;1994;2018;0;Achtste finale
Mexico;CONCACAF;C;2e CONCACAF (derde ronde);16;1930;2018;0;Kwartfinale
Argentina;CONMEBOL;C;2e CONMEBOL;17;1930;2018;2;Wereldkampioen
Poland;UEFA;C;Winnaar play-off 2;9;1938;2018;0;Derde plaats
Tunisia;CAF;D;Winnaar play-off 5;6;1978;2018;0;Groepsfase
France;UEFA;D;1e groep D;16;1930;2018;2;Wereldkampioen
Denmark;UEFA;D;1e groep F;6;1986;2018;0;Kwartfinale
Australia;AFC;D;Winnaar intercontinentale play-off (AFC-CONMEBOL);6;1974;2018;0;Achtste finale
Japan;AFC;E;2e groep B (derde ronde);7;1998;2018;0;Achtste finale
Spain;UEFA;E;1e groep B;15;1934;2018;1;Wereldkampioen
Germany;UEFA;E;1e groep J;20;1934;2018;4;Wereldkampioen
Costa Rica;CONCACAF;E;Winnaar intercontinentale play-off (CONCACAF-OFC);5;1990;2018;0;Kwartfinale
Morocco;CAF;F;Winnaar play-off 4;6;1970;2018;0;Achtste finale
Canada;CONCACAF;F;1e CONCACAF (derde ronde);2;1986;1986;0;Groepsfase
Belgium;UEFA;F;1e groep E;14;1930;2018;0;Derde plaats
Croatia;UEFA;F;1e groep H;6;1998;2018;0;Tweede plaats
Cameroon;CAF;G;Winnaar play-off 3;8;1982;2014;0;Kwartfinale
Brazil;CONMEBOL;G;1e CONMEBOL;22;1930;2018;5;Wereldkampioen
Serbia;UEFA;G;1e groep A;3;2010;2018;0;Groepsfase
Switzerland;UEFA;G;1e groep C;12;1934;2018;0;Kwartfinale
South Korea;AFC;H;2e groep A (derde ronde);11;1954;2018;0;Vierde plaats
Ghana;CAF;H;Winnaar play-off 1;4;2006;2014;0;Kwartfinale
Uruguay;CONMEBOL;H;3e CONMEBOL;14;1930;2018;2;Wereldkampioen
Portugal;UEFA;H;Winnaar play-off 3;8;1966;2018;0;Derde plaats
